Hashcode,Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,League,Teams,Leagues,Season,Total_OB,Total_Outs,Game_Fatigue_Factor,Condition,Status,Injured Days
161256,Seiya Suzuki,CHC,OF,29,138,515,75,147,31,6,20,74,6,7,59,130,0,7,2,0.285,0.361,0.485,0.846,NL,['CHC'],['NL'],[2023],208,370,0,100,Active,0
465027,Carlos Correa,MIN,SS,29,135,514,60,118,29,2,18,65,0,0,59,131,0,3,4,0.23,0.313,0.398,0.711,AL,['MIN'],['AL'],[2023],181,400,0,100,Active,0
495522,Cal Raleigh,SEA,C,26,145,513,78,119,23,1,30,75,0,0,54,158,0,1,1,0.232,0.306,0.456,0.762,AL,['SEA'],['AL'],[2023],174,395,0,100,Active,0
305969,Leody Taveras,TEX,OF,25,143,511,67,136,31,3,14,67,14,4,35,117,3,4,1,0.266,0.314,0.42,0.734,AL,['TEX'],['AL'],[2023],172,376,0,100,Active,0
551211,Javier Baez,DET,SS,30,136,510,58,113,18,4,9,59,12,0,24,125,0,3,9,0.222,0.268,0.325,0.593,AL,['DET'],['AL'],[2023],146,406,0,100,Active,0
561515,Matt Chapman,TOR,3B,30,140,509,66,122,39,2,17,54,4,2,62,165,0,2,8,0.24,0.331,0.424,0.755,AL,['TOR'],['AL'],[2023],192,395,0,100,Active,0
537625,Michael Harris,ATL,OF,22,138,505,76,148,33,3,18,57,20,4,25,101,1,3,5,0.293,0.332,0.477,0.808,NL,['ATL'],['NL'],[2023],178,362,0,100,Active,0
12261,Jorge Soler,MIA,OF,31,137,504,77,126,24,0,36,75,1,0,66,141,0,4,6,0.25,0.343,0.511,0.854,NL,['MIA'],['NL'],[2023],198,384,0,100,Active,0
1022524,Cody Bellinger,CHC,OF,28,130,499,95,153,29,1,26,97,20,6,40,87,0,12,5,0.307,0.363,0.525,0.888,NL,['CHC'],['NL'],[2023],198,351,0,100,Active,0
859480,Shohei Ohtani,LAA,DH,29,135,497,102,151,26,8,44,95,20,6,91,143,0,3,3,0.304,0.414,0.653,1.067,AL,['LAA'],['AL'],[2023],245,349,0,100,Active,0
374055,DJ LeMahieu,NYY,3B,35,136,497,55,121,22,3,15,44,2,2,60,125,0,2,3,0.243,0.328,0.39,0.718,AL,['NYY'],['AL'],[2023],184,379,0,100,Active,0
860547,Thairo Estrada,SF,2B,27,120,495,63,134,26,2,14,49,23,7,22,120,0,2,11,0.271,0.316,0.416,0.732,NL,['SF'],['NL'],[2023],167,372,0,100,Active,0
148351,Ke'Bryan Hayes,PIT,3B,26,124,494,65,134,31,7,15,61,10,6,28,104,0,3,0,0.271,0.31,0.453,0.763,NL,['PIT'],['NL'],[2023],162,360,0,100,Active,0
596465,Tim Anderson,CWS,SS,30,123,493,52,121,18,2,1,25,13,2,26,122,0,2,3,0.245,0.287,0.296,0.583,AL,['CWS'],['AL'],[2023],150,375,0,100,Active,0
611858,Isaac Paredes,TB,3B,24,143,492,71,123,24,0,31,98,1,0,58,104,0,1,20,0.25,0.352,0.487,0.839,AL,['TB'],['AL'],[2023],201,389,0,100,Active,0
254799,J.T. Realmuto,PHI,C,32,135,489,70,123,28,5,20,63,16,5,35,138,0,5,9,0.252,0.313,0.451,0.764,NL,['PHI'],['NL'],[2023],167,375,0,100,Active,0
898500,Orlando Arcia,ATL,2B,29,139,488,66,129,25,0,17,65,1,0,39,102,0,3,3,0.264,0.322,0.42,0.742,NL,['ATL'],['NL'],[2023],171,362,0,100,Active,0
845991,TJ Friedl,CIN,OF,28,138,488,73,136,22,8,18,66,27,6,47,90,8,3,10,0.279,0.354,0.467,0.821,NL,['CIN'],['NL'],[2023],193,362,0,100,Active,0
1020528,Elias Diaz,COL,C,32,141,486,48,130,25,1,14,72,1,0,34,118,0,4,2,0.267,0.318,0.409,0.727,NL,['COL'],['NL'],[2023],166,358,0,100,Active,0
1012925,Brandon Drury,LAA,3B,31,125,485,61,127,30,3,26,83,0,2,25,136,0,5,8,0.262,0.308,0.496,0.804,AL,['LAA'],['AL'],[2023],160,366,0,100,Active,0
793447,James Outman,LAD,OF,26,151,483,86,120,16,3,23,70,16,3,68,181,0,4,12,0.248,0.355,0.436,0.79,AL,['LAD'],['AL'],[2023],200,375,0,100,Active,0
871320,Max Muncy,LAD,3B,33,135,482,95,102,17,1,36,105,1,2,85,153,0,6,6,0.212,0.336,0.475,0.811,AL,['LAD'],['AL'],[2023],193,386,0,100,Active,0
758039,J.D. Davis,SF,3B,30,144,480,61,119,23,1,18,69,1,0,52,152,0,6,6,0.248,0.328,0.412,0.74,NL,['SF'],['NL'],[2023],177,367,0,100,Active,0
180082,Tommy Edman,STL,2B,28,137,479,69,119,25,4,13,47,27,4,35,84,3,4,7,0.248,0.309,0.398,0.707,NL,['STL'],['NL'],[2023],161,367,0,100,Active,0
360419,Matt Vierling,DET,OF,27,134,479,63,125,21,5,10,44,6,6,44,112,1,1,5,0.261,0.329,0.388,0.717,AL,['DET'],['AL'],[2023],174,359,0,100,Active,0
648628,Josh Jung,TEX,3B,25,122,478,75,127,25,1,23,70,1,3,30,151,0,2,5,0.266,0.315,0.466,0.781,AL,['TEX'],['AL'],[2023],162,356,0,100,Active,0
12006,Eddie Rosario,ATL,OF,32,142,478,64,122,24,3,21,74,3,4,34,122,1,2,1,0.255,0.306,0.449,0.755,NL,['ATL'],['NL'],[2023],157,357,0,100,Active,0
396326,Corey Seager,TEX,SS,29,119,477,88,156,42,0,33,96,2,1,49,88,0,6,4,0.327,0.394,0.622,1.016,AL,['TEX'],['AL'],[2023],209,325,0,100,Active,0
301685,Trent Grisham,SD,OF,26,153,469,67,93,31,1,13,50,15,3,75,154,4,1,5,0.198,0.315,0.351,0.665,NL,['SD'],['NL'],[2023],173,381,0,100,Active,0
48994,Mauricio Dubon,HOU,OF,29,132,467,76,130,26,3,10,46,7,2,19,70,0,3,3,0.278,0.31,0.411,0.721,AL,['HOU'],['AL'],[2023],152,340,0,100,Active,0
537147,Josh Lowe,TB,OF,25,135,466,71,136,33,2,20,83,32,3,31,124,0,3,1,0.292,0.337,0.5,0.837,AL,['TB'],['AL'],[2023],168,331,0,100,Active,0
18294,Tyler Stephenson,CIN,C,27,142,465,59,113,20,2,13,56,0,1,47,135,0,1,4,0.243,0.317,0.378,0.695,NL,['CIN'],['NL'],[2023],164,356,0,100,Active,0
1041928,Will Smith,LAD,C,28,126,464,80,121,21,2,19,76,3,0,63,89,0,12,15,0.261,0.367,0.437,0.804,AL,['LAD'],['AL'],[2023],199,358,0,100,Active,0
225923,Zach McKinstry,DET,2B,28,148,464,60,107,21,4,9,35,16,6,44,113,2,3,5,0.231,0.304,0.351,0.655,AL,['DET'],['AL'],[2023],156,362,0,100,Active,0
157744,Maikel Garcia,KC,SS,23,123,464,59,126,20,4,4,50,23,7,38,115,1,10,2,0.272,0.329,0.357,0.686,AL,['KC'],['AL'],[2023],166,340,0,100,Active,0
88982,Brent Rooker,OAK,OF,28,137,463,61,114,20,1,30,69,4,0,49,172,0,4,10,0.246,0.331,0.488,0.819,AL,['OAK'],['AL'],[2023],173,359,0,100,Active,0
515645,Myles Straw,CLE,OF,28,147,462,52,110,18,3,1,29,20,6,42,97,6,6,2,0.238,0.304,0.296,0.6,AL,['CLE'],['AL'],[2023],154,354,0,100,Active,0
580537,Jake Cronenworth,SD,2B,29,127,458,54,105,24,7,10,48,6,1,46,97,1,5,11,0.229,0.314,0.377,0.691,NL,['SD'],['NL'],[2023],162,364,0,100,Active,0
747382,Jonah Heim,TEX,C,28,131,457,61,118,28,0,18,95,2,0,40,96,0,3,1,0.258,0.319,0.437,0.756,AL,['TEX'],['AL'],[2023],159,340,0,100,Active,0
323342,Bryce Harper,PHI,DH,30,126,457,84,134,29,1,21,72,11,3,80,119,0,4,5,0.293,0.404,0.498,0.902,NL,['PHI'],['NL'],[2023],219,328,0,100,Active,0
568666,Eloy Jimenez,CWS,OF,26,120,456,50,124,23,0,18,64,0,0,30,93,0,2,1,0.272,0.318,0.44,0.758,AL,['CWS'],['AL'],[2023],155,333,0,100,Active,0
265663,Jonathan India,CIN,2B,26,119,454,78,111,23,0,17,61,14,2,52,109,0,7,16,0.244,0.342,0.407,0.749,NL,['CIN'],['NL'],[2023],179,359,0,100,Active,0
719781,Josh Naylor,CLE,1B,26,121,452,52,139,31,0,17,97,10,3,33,68,0,7,3,0.308,0.358,0.488,0.846,AL,['CLE'],['AL'],[2023],175,316,0,100,Active,0
29943,Esteury Ruiz,OAK,OF,24,132,449,47,114,24,1,5,47,67,13,20,99,4,1,16,0.254,0.309,0.345,0.653,AL,['OAK'],['AL'],[2023],150,351,0,100,Active,0
422421,Shea Langeliers,OAK,C,25,135,448,52,92,19,4,22,63,3,2,34,143,1,2,5,0.205,0.268,0.412,0.679,AL,['OAK'],['AL'],[2023],131,361,0,100,Active,0
310133,Luis Garcia,WSH,2B,23,122,447,61,119,18,4,9,50,9,4,27,60,1,7,0,0.266,0.308,0.384,0.692,NL,['WSH'],['NL'],[2023],146,328,0,100,Active,0
256710,Jack Suwinski,PIT,OF,25,144,447,63,100,21,2,26,74,13,2,75,172,0,6,6,0.224,0.342,0.454,0.796,NL,['PIT'],['NL'],[2023],181,353,0,100,Active,0
372153,Wander Franco,TB,SS,22,112,442,65,124,23,6,17,58,30,10,42,69,0,4,3,0.281,0.347,0.475,0.822,AL,['TB'],['AL'],[2023],169,321,0,100,Active,0
809775,Max Kepler,MIN,OF,30,130,438,72,114,22,2,24,66,1,1,45,106,0,4,4,0.26,0.334,0.484,0.818,AL,['MIN'],['AL'],[2023],163,328,0,100,Active,0
575942,J.D. Martinez,LAD,DH,36,113,432,61,117,27,2,33,103,1,0,34,149,0,9,2,0.271,0.326,0.571,0.897,AL,['LAD'],['AL'],[2023],153,317,0,100,Active,0
194476,Will Brennan,CLE,OF,25,138,432,41,115,24,0,5,41,13,5,16,57,0,2,5,0.266,0.3,0.356,0.655,AL,['CLE'],['AL'],[2023],136,322,0,100,Active,0
379544,LaMonte Wade,SF,OF,29,135,429,64,110,14,2,17,45,2,0,76,95,4,4,6,0.256,0.375,0.417,0.792,NL,['SF'],['NL'],[2023],192,325,0,100,Active,0
531578,Triston Casas,BOS,1B,23,132,429,66,113,21,2,24,65,0,0,70,126,0,2,1,0.263,0.368,0.489,0.857,AL,['BOS'],['AL'],[2023],184,317,0,100,Active,0
954119,Willson Contreras,STL,C,31,125,428,55,113,27,0,20,67,6,3,51,111,1,2,13,0.264,0.359,0.467,0.826,NL,['STL'],['NL'],[2023],177,328,0,100,Active,0
