Hashcode,Player,Team,Age,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP,League,Teams,Leagues,AB,2B,3B,HBP,Season,OBP,Total_OB,Total_Outs,AVG_faced,Game_Fatigue_Factor,Condition,Status,Injured Days
121083,Phil Maton,TB,31,1377,0,0,0,1308.6,1053,531,1431,522,162,36,63,18,45,288,5.52,1.3,AL,"['TB', 'HOU']",['AL'],4978.799999999999,0,0,0,"[2022, 2023, 2024]",0.3023255813953489,1575,3925.7999999999997,3.994771241830065,0,100,Active,0
798686,Bowden Francis,TOR,28,234,18,0,0,454.5,369,189,477,135,81,27,18,9,0,0,8.59,1.7,AL,['TOR'],['AL'],1732.5,0,0,0,"[2022, 2023, 2024]",0.36170212765957444,504,1363.5,7.980769230769231,0,100,Active,0
451513,Joey Wentz,DET,26,378,234,0,0,1364.3999999999999,1512,846,1296,594,243,45,135,0,0,18,1.23,1.36,AL,['DET'],['AL'],5605.2,0,0,0,"[2022, 2023, 2024]",0.3119266055045872,2106,4093.2,16.4,0,100,Active,0
841362,Kevin Kelly,TB,26,138,0,0,0,162.4,136,58,142,32,8,12,4,2,2,26,3.68,1.09,AL,['TB'],['AL'],623.2,0,0,0,"[2022, 2023, 2024]",0.2665036674816626,168,487.20000000000005,4.747826086956522,0,100,Active,0
100814,Alex Lange,DET,28,1395,0,0,0,1289.6999999999998,909,504,1602,792,99,126,99,252,90,270,3.07,1.57,AL,['DET'],['AL'],4778.099999999999,0,0,0,"[2022, 2023, 2024]",0.3435448577680525,1701,3869.0999999999995,3.9929032258064514,0,100,Active,0
839786,Matt Sauer,KC,25,12,0,0,0,14.1,17,9,7,11,1,0,0,0,0,0,5.65,1.95,AL,['KC'],['AL'],59.3,0,0,0,"[2022, 2023, 2024]",0.3939393939393939,28,42.3,5.858333333333333,0,100,Active,0
1026864,Abner Uribe,MIL,23,92,0,0,0,88.6,62,34,106,64,2,6,4,8,6,16,6.91,1.88,NL,['MIL'],['NL'],327.79999999999995,0,0,0,"[2022, 2023, 2024]",0.38524590163934425,126,265.79999999999995,4.2586956521739125,0,100,Active,0
5015,Alexis Diaz,CIN,27,1305,0,0,0,1299.6000000000001,747,405,1665,711,81,153,90,486,72,135,5.65,1.47,NL,['CIN'],['NL'],4645.8,0,0,0,"[2022, 2023, 2024]",0.3288590604026846,1458,3898.8,4.104827586206897,0,100,Active,0
285233,Genesis Cabrera,TOR,27,7424,0,0,0,7264.0,6912,3648,6400,3392,1216,448,256,64,320,1600,5.65,2.02,AL,"['TOR', 'STL']","['AL', 'NL']",28704.0,0,0,0,"[2022, 2023, 2024]",0.402390438247012,10304,21792.0,4.323275862068965,0,100,Active,0
129777,Jesse Chavez,ATL,40,66875,1250,0,0,72937.5,67500,23125,76250,23750,7500,3750,2500,625,4375,14375,1.26,1.19,NL,"['LAA', 'CHC', 'ATL']","['AL', 'NL']",286312.5,0,0,0,"[2022, 2023, 2024]",0.2840095465393795,91250,218812.5,4.636448598130841,0,100,Active,0
26497,Ryan Pressly,HOU,35,1179,0,0,0,1145.6999999999998,927,459,1449,315,126,63,81,576,108,45,5.65,1.74,AL,['HOU'],['AL'],4364.099999999999,0,0,0,"[2022, 2023, 2024]",0.36708860759493667,1242,3437.0999999999995,3.9687022900763353,0,100,Active,0
648852,Taylor Rogers,SF,33,9152,0,0,0,8281.6,7040,3968,10688,3008,1024,704,832,2112,640,1216,3.77,1.19,NL,"['SD', 'SF', 'MIL']",['NL'],31884.800000000003,0,0,0,"[2022, 2023, 2024]",0.2840095465393795,10048,24844.800000000003,3.812587412587413,0,100,Active,0
640394,Yimi Garcia,TOR,33,1332,0,0,0,1269.8999999999999,1071,468,1386,306,135,72,81,54,72,414,0.63,0.49,AL,['TOR'],['AL'],4880.7,0,0,0,"[2022, 2023, 2024]",0.14040114613180515,1377,3809.7,3.893918918918919,0,100,Active,0
