Hashcode,Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,League,Teams,Leagues,Season,Total_OB,Total_Outs,Game_Fatigue_Factor,Condition,Status,Injured Days
77885,Jackson Merrill,SD,SS,21,41,134,18,39,4,1,3,17,6,2,11,23,1,1,0,0.291,0.344,0.402,0.746,NL,['SD'],['NL'],[2024],50,95,0,100,Active,0
77541,Steven Kwan,CLE,OF,26,32,133,28,47,6,2,3,11,3,3,11,11,0,0,1,0.353,0.406,0.496,0.902,AL,['CLE'],['AL'],[2024],59,87,0,100,Active,0
224423,Rhys Hoskins,MIL,1B,31,38,133,17,31,5,0,9,27,1,0,18,33,0,1,4,0.233,0.341,0.473,0.814,NL,['MIL'],['NL'],[2024],53,106,0,100,Active,0
265663,Jonathan India,CIN,2B,27,36,133,12,31,3,1,2,11,4,1,20,29,0,1,2,0.233,0.341,0.315,0.656,NL,['CIN'],['NL'],[2024],53,104,0,100,Active,0
333292,Carlos Santana,MIN,1B,38,37,132,14,28,5,0,7,21,0,0,11,26,0,0,3,0.212,0.287,0.409,0.696,AL,['MIN'],['AL'],[2024],42,107,0,100,Active,0
871320,Max Muncy,LAD,3B,33,38,132,24,31,8,0,9,26,0,0,21,46,0,3,2,0.235,0.348,0.5,0.848,AL,['LAD'],['AL'],[2024],54,103,0,100,Active,0
602026,Jesse Winker,WSH,OF,30,38,132,19,31,8,0,4,18,4,0,19,36,0,1,5,0.235,0.352,0.386,0.738,NL,['WSH'],['NL'],[2024],55,106,0,100,Active,0
60475,Mark Canha,DET,OF,35,38,131,18,31,8,0,6,20,1,0,19,32,0,0,6,0.237,0.358,0.435,0.792,AL,['DET'],['AL'],[2024],56,106,0,100,Active,0
186435,Brendan Rodgers,COL,2B,27,37,131,15,35,6,1,1,8,1,0,9,34,0,0,0,0.267,0.314,0.351,0.665,NL,['COL'],['NL'],[2024],44,96,0,100,Active,0
721701,Will Benson,CIN,OF,25,39,131,13,25,10,1,4,11,8,3,17,60,0,0,0,0.191,0.283,0.374,0.657,NL,['CIN'],['NL'],[2024],42,106,0,100,Active,0
148351,Ke'Bryan Hayes,PIT,3B,27,34,129,15,31,7,0,1,11,0,0,15,24,0,3,2,0.24,0.328,0.317,0.645,NL,['PIT'],['NL'],[2024],48,100,0,100,Active,0
957163,Dansby Swanson,CHC,SS,30,37,129,20,27,3,1,4,12,4,2,13,41,0,1,1,0.209,0.286,0.341,0.627,NL,['CHC'],['NL'],[2024],41,103,0,100,Active,0
855108,Jose Caballero,TB,2B,27,37,128,19,33,7,1,2,13,17,6,8,36,2,1,3,0.258,0.316,0.375,0.691,AL,['TB'],['AL'],[2024],44,98,0,100,Active,0
123850,Luis Campusano,SD,C,25,38,127,17,34,10,0,3,23,0,0,9,17,0,0,0,0.268,0.316,0.417,0.733,NL,['SD'],['NL'],[2024],43,93,0,100,Active,0
370525,Nolan Schanuel,LAA,1B,22,37,127,11,29,3,0,3,13,0,0,12,24,2,2,2,0.228,0.304,0.322,0.626,AL,['LAA'],['AL'],[2024],43,100,0,100,Active,0
236436,Nolan Gorman,STL,2B,24,37,127,12,25,6,0,5,15,0,1,17,47,0,0,0,0.197,0.291,0.362,0.653,NL,['STL'],['NL'],[2024],42,102,0,100,Active,0
881950,Jeimer Candelario,CIN,3B,30,35,127,13,28,8,1,4,16,0,1,11,41,0,1,2,0.22,0.292,0.393,0.685,NL,['CIN'],['NL'],[2024],41,101,0,100,Active,0
308845,Daulton Varsho,TOR,OF,27,39,126,22,27,8,0,7,19,4,0,17,35,0,0,0,0.214,0.307,0.444,0.751,AL,['TOR'],['AL'],[2024],44,99,0,100,Active,0
422421,Shea Langeliers,OAK,C,26,38,126,17,26,5,2,9,24,0,1,8,32,0,3,2,0.206,0.264,0.492,0.756,AL,['OAK'],['AL'],[2024],36,102,0,100,Active,0
495522,Cal Raleigh,SEA,C,27,37,125,20,28,2,0,10,24,0,0,16,49,0,1,0,0.224,0.312,0.48,0.792,AL,['SEA'],['AL'],[2024],44,97,0,100,Active,0
805015,Edouard Julien,MIN,2B,25,40,125,21,28,5,0,7,15,5,0,21,50,0,0,1,0.224,0.34,0.432,0.772,AL,['MIN'],['AL'],[2024],50,98,0,100,Active,0
642276,Evan Carter,TEX,OF,21,37,125,23,27,6,2,5,15,2,0,14,37,0,1,2,0.216,0.304,0.416,0.72,AL,['TEX'],['AL'],[2024],43,100,0,100,Active,0
